finding,original_severity,title,author_disposition,independent_disposition,correction_commits,original_evidence,corrected_evidence,independent_reasoning
F12,PORTANTE,"Divulgation asymétrique dans le rapport, et incohérence avec le manuscrit",ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:163,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:236,"The32-pair p=.0433 appears alongside its exclusion rule and limitation, matching manuscript disclosure. It is not substituted as confirmatory evidence."
F13,PORTANTE,Ce qui « manque » à OMLDCT03 est réduit à un dixième du retour de checker,ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:173,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:245,"The report now lists accrual, admissibility wording, prior information, integrity gate, inherited clauses, and endpoint correlation. The assertion one endpoint twice is rhetorical; the two variables are highly correlated but not identical."
F14,MATÉRIELLE,"Vocabulaire interdit, quatre occurrences",ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:183,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md,"The four specifically cited phrases were changed. This was a local editorial vocabulary restriction, not an independent scientific objection."
F15,MATÉRIELLE,Jeton verbatim fabriqué,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:200,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:324,The original French token NON_INTERPRETABLES__CONFONDUS_PAR_LA_MORTALITE_DIFFERENTIELLE is preserved; the English translation is prose.
F16,MATÉRIELLE,La revendication d'antériorité ne dit pas ce que ses trois sources disent,ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:210,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:321,Differential mortality and MERGE suppression now have separate attribution. This is programme-internal priority; no external novelty theorem is established.
F17,MATÉRIELLE,L'abstract juxtapose deux vecteurs d'ordre incompatible,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:220,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:26,"The33-pair abstract vector names split/merge/extinction explicitly, preventing order confusion with the41-pair vector."
F18,MATÉRIELLE,« years apart in programme time »,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:230,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:133,The years-apart wording is removed. v0.2 names seed-disjoint campaigns; dates are days apart in recovered metadata.
F19,MATÉRIELLE,"« total local extinction » : c'est le monde qui meurt, pas la fille",ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:240,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:91,NO_COMPONENT is correctly defined as no Y-occupied cell anywhere in the world; total local extinction is removed.
F20,MATÉRIELLE,"« rendement admissible observé » : 4,10 % n'est pas observé ici, 4,633 % l'est",ACCEPTED,RESOLVED_WITH_LIMITS,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:250,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:441,"Observed41/885 and Jeffreys Beta41.5,844.5 quantiles reproduce. Future-accrual variability and cost-yield dependence are not fully propagated; rate quantiles alone are not a predictive success guarantee."
F21,MATÉRIELLE,C1 est classée « non relue » alors qu'elle est vérifiable dans l'arbre,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:262,DELIVERABLES/CLAIM_EVIDENCE_MATRIX.md:C1,The available classifier line ranges are now identified as the source. The combinatorial argument is directly inspectable without running the engine.
F22,MATÉRIELLE,"Trois missions à sortie présente ne sont jamais auditées, et le compte de §2.3 est faux",ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:272,DELIVERABLES/CLAIM_EVIDENCE_MATRIX.md:H,"The three omitted source missions are acknowledged. Ten out-bearing missions refers to the original246-file recovery, not the enlarged final tree, which adds CCRA01 and REVIEW01."
F23,MATÉRIELLE,La « divergence non réconciliée » RPP97/RPP98 n'est pas une divergence,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:282,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:95,Cell-count and Y-quanta summaries are distinguished along with their different time/object supports; the false contradiction is removed.
F24,MATÉRIELLE,"Les blocs de statuts diffèrent entre les trois documents, tous trois se disant « inconditionnels »",ACCEPTED,PARTIAL,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:292,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:307,The report and matrix print the16 exact states. The manuscript still abbreviates RPP97/RPP98/FIMRCC02 as WITHDRAWN under their recorded strings while claiming verbatim re-emission. Three exact values are absent from that manuscript block.
F25,MATÉRIELLE,Le rapport cite mal le sous-titre de son propre manuscrit,ACCEPTED,RESOLVED,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:302,DELIVERABLES/RAPPORT_DECISION_EDL_20260904.md:310,The old mismatched subtitle is superseded by the corrected manuscript title/subtitle; no stronger survival-endpoint label is justified by this edit.
F26,MINEURE,Trois affirmations non sourçables dans des documents dont la discipline est le sourçage,ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:310,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:269,"Unsupported rollback cadence is removed, largest ceiling is scoped to recovered records, and the previously unnamed publication is identified. This subtask did not independently evaluate its biology."
F27,MINEURE,"« technically flawless », et deux mésattributions de source",ACCEPTED,RESOLVED_WITH_SCOPE,23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:319,DELIVERABLES/MS_EDL_NONEXCHANGEABILITY_v0.2.md:344,"Zero technical failures replaces technically flawless. Recomputed versus quoted quantities are itemized, source-table attribution is improved, and33/805 source levels are distinguished."
F28,MINEURE,Deux incohérences numériques internes,ACCEPTED,PARTIAL,178b26e;23eb684,REVIEW01/out/REVIEW01_CHECKER_RETURN_VERBATIM.md:329,RECOVERY/RECOVERY_REPORT_20260904.md:96,The payload3963075-byte correction is made and79-pair.20 is removed. The document still calls4053773 bytes the complete first-commit tree although that number is a manifest scope; direct root-tree byte count is recorded separately below.
