L,seed,arm,per_event_site_records,time,event,site,mass_before,fresh_mass_added,mass_after,graph_distance_to_current_track,graph_distance_to_frozen_C256,occupancy_threshold,occupied_after,n_shell_preload_decisions,n_remote_halo_decisions,shell_preload_decision_fraction,remote_halo_mass_exactly_zero,engine_steps_since_injection,RECONSTRUCTIBLE_WITHOUT_ENGINE,proof_of_absence
24,980001,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,671,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,509,64,0.8883071553228621,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1062,30,0.9725274725274725,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,925,23,0.9757383966244726,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,602,24,0.9616613418530351,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980001,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,n/a,0,3,0.0,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,683,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,547,73,0.882258064516129,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1220,31,0.9752198241406874,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1049,23,0.9785447761194029,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,657,24,0.9647577092511013,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980002,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,n/a,0,1,0.0,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,717,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,604,65,0.9028400597907325,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1237,29,0.9770932069510269,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,848,27,0.9691428571428572,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,546,25,0.9562171628721541,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980003,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,1,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,597,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,659,50,0.9294781382228491,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1050,30,0.9722222222222222,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,742,27,0.9648894668400521,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,477,25,0.950199203187251,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980004,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,1,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,760,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,637,64,0.9087018544935807,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1033,30,0.9717779868297272,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,658,30,0.9563953488372093,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,499,24,0.9541108986615678,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980005,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,1,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,656,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,619,63,0.907624633431085,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D2_REDESIGNED_Q020,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,1217,29,0.9767255216693419,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D2_REDESIGNED_Q050,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,830,25,0.9707602339181286,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,D2_REDESIGNED_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,380,24,0.9405940594059405,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980006,DIRECT_INTERFACE_Q100,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,inside,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980007,SHAM,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,n/a,n/a,0.45,n/a,0,0,,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980007,D1_LEGACY_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,n/a,0,2,0.0,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980007,D1_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",1,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,674,0,1.0,True,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
24,980007,D2_REDESIGNED_Q005,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,ABSENT,"1 for every ACCEPTED_SUBTHRESHOLD_ADJACENT decision, >=2 for every ACCEPTED decision",2,0.45,False by construction: P2' caps the adjacent site at THRESH-EPS,614,60,0.9109792284866469,False,ABSENT,False,"dsc_harness.branch() reads r['sites'] only inside the assertion and never writes it; no dynamic_source_capture_event_ledger* file exists in the workdir, DSC_DELIVERY/, the archive or the git tree of f4f0a93"
