item,status,source,unit,verification,remaining_limit
CCRA01 raw classifications,RECOMPUTED_SAME_DATA,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix",17 losses 24 wins zero ties; 30 of 41 decided by duration
CCRA01 capability 5/5,ANALYTIC_IMPLEMENTATION_TESTS_PASS,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix",Does not establish scientific power or privileged endpoint
CCRA01 12h / 105h power,ORIGINAL_POWER_NOT_REPRODUCIBLE_DIAGNOSTIC_PROVIDED,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix",Original code and RNG missing; new specified OMLDCT diagnostic not power of CCRA
28 Sept-4 checker findings,INDIVIDUALLY_ADJUDICATED,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix","14 resolved, 9 scoped, F5 nonexhaustive, F8/F9/F24/F28 partial in historical C"
Five Sept-4 fatal findings resolution,FOUR_CORRECTED_FIFTH_SCOPED,september4_adjudication/SEPTEMBER4_ADJUDICATION_FR.md,41 paired worlds / historical documents,"Raw recomputation, differential replay, commit-by-commit matrix",Routes addressed; no exhaustive no-experiment conclusion
Historical missing mission inventory,SOURCE_SCOPE_DOCUMENTED,september4/snapshot/RECOVERY; SOURCE_VERIFICATION.json,Separate recovery snapshots,Exact snapshot manifest and historical recovery claims inspected,Historical full tree versus payload counts differ; see F28
TBRT02 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:TBRT02/out,21 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
OMLDCT02 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:OMLDCT02/out,28 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
OMLDCT03 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:OMLDCT03/out,8 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
TLMR01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:TLMR01/out,40 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
FMRCT01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:FMRCT01/out,12 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
FDFLT01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:FDFLT01/out,24 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
FDOT01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:FDOT01/out,13 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
FMRT01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:FMRT01/out,33 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
BPRTC01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:BPRTC01/out,1 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
MCTT01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:MCTT01/out,2 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
FIMRCC02 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:FIMRCC02/out,5 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
RPP97 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:RPP97/out,5 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
RPP98 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:RPP98/out,6 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
GATE01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:GATE01/out,5 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
CLOSE01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:CLOSE01/out,4 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
ORR01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:ORR01/out,13 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
OBTC02 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:OBTC02/out,11 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
PQEC01 outputs,PRESENT_IN_RECOVERED_GIT,5372fd86:PQEC01/out,22 files,Git tree inventory; complete paths in SOURCE_VERIFICATION.json,Presence does not verify every scientific conclusion or identify Claude missing subset
