CLAIM_ID,MANUSCRIPT_LOCATION,FINAL_CLAIM,EVIDENCE_FILE,JSON_PATH_OR_CODE,EVIDENCE_LEVEL,LIMIT_OR_CONTRADICTION,EDITORIAL_ACTION,SOURCE_SHA256,REPRODUCTION
C20,Results 3.1; Discussion; Table 1; Supplement S4,Predictor MC dispersion accompanies point predictions,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,replicates/stats,STORED_PREDICTOR_REPLICAS_RECOMPUTED,"Ratio uses propagated convention, not independent ratio simulation",ADD_UNCERTAINTY,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C21,Methods 2.4; Supplement S2,Fourteen load-bearing files match their pre-run Git blobs,paper/organiser-bound-source-response-operator/provenance/GIT_FREEZE_VERIFICATION.json,frozen_files_unchanged,GIT_OBJECT_VERIFIED,Adjudication and interval rules were later; no public timestamp proof,RETAIN_WITH_PRECISE_CHRONOLOGY,e05faf0eb3066a22f0bc6d8fcddde6e30632b79002bdd159fb0066d08d309144,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C22,Methods 2.4; Discussion; Supplement S4,Whole-interval rules and inferential diagnostics are post-freeze,SEAL01/out/OBFOR01_HEADLINE_RECOMPUTATION.json,FRESH/WHOLE_INTERVAL_CRITERION_PROVENANCE,SEALED_PROVENANCE,Cannot be promoted to pre-registered success,WITHDRAW_FROZEN_INTERVAL_CLAIM,462df040a9763437f133b04533b410e8e3b65168ef30a46d63f08bf8a780e797,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C23,Supplement S4,Small-sample absolute diagnostic p values use t13,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,endpoints,RAW_RECOMPUTED_POST_FREEZE,Conditional on fixed predictor; no predictor uncertainty integration,CORRECT_NORMAL_TAILS,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C24,Supplement S4,Ratio delta SE includes observed/predicted scale,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,endpoints/ratio,ALGEBRAIC_DIAGNOSTIC_CORRECTION,No change to frozen point decision; old value retained for comparison,CORRECT_SCALE_FACTOR,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C25,Methods 2.3; Abstract; Discussion,No closed marginal density or full-state theory established,SEAL01/out/_seal_adjudication.json,MAXIMAL_AUTHORIZED_CLAIM,SEALED_SCOPE_LIMIT,Conditional exactness terminology removed from central claim,REDUCE_FULL_OPERATOR_CLAIM,aa4b3cefac080727968dea4ca31e91030f061815ba927dee6211a80791b30ee4,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C26,Methods 2.1,Transport blocking is rare at tested point,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,fresh_arms,RAW_LEDGER_RECOMPUTED,Capacity exists structurally; high-occupancy extrapolation not established,REDUCE_CAPACITY_GENERALIZATION,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C27,Related results; Supplement S6,MYQBD01 exposure insufficient for full descendant spatial operator,MYQBD01/out/MYQBD01_FINAL_DISPOSITION.json,FINAL_DISPOSITION,SEALED_CONTEXT_ONLY,Organiser-only first-birth information; not independent confirmation here,RETAIN_NEGATIVE,9705483c0dc3d150cbc426886e42889ff214134793f1856b21f73f7533a5168c,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C28,Related results; Supplement S6,PQEC01 has 128 raw worlds with developmental status,PQEC01/out/PQEC01_RAW_MANIFEST.json,N_ARCHIVES,MANIFEST_PLUS_EXTERNAL_RAW_HASH_AUDIT,Prospective status withdrawn by FLCR01; no raw analysis rerun for its region,RETAIN_NEGATIVE_SCOPE,399cfbaae06fc479d661717f98e2ba7e56964eefd250ea4a846f05982b8fe88b,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C29,Related results; Supplement S6,FLCR01 rejects founder necessity but leaves operator unidentified,FLCR01/out/FLCR01_FINAL_DISPOSITION.json,,SEALED_CONTEXT_ONLY,"Founder, lineage and functional two-centre criteria are distinct",RETAIN_NEGATIVE,cf07af95f8e6e97ee5382fa5719223085574bd7532f72c3b44157a2664311a24,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C30,Related results; Supplement S6,IOM retains low-dimensional causal experience memory and INDIVIDUATION FAIL,paper/organiser-bound-source-response-operator/provenance/context/EXP_SC_IOM_00_ERRATUM.md,Correction 1,PINNED_DOCUMENTARY_CONTEXT,Separate architecture; raw simulation not reverified here,RETAIN_FAIL,3c6e6e9edb0aed0b305be0c621d23e54b7c7245fccefa5e1c1b41c4bb6df1338,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C31,Related results; Supplement S6,IOM high-dimensional internal variation is not established history storage,paper/organiser-bound-source-response-operator/provenance/context/EXP_SC_IOM_00_ERRATUM.md,Correction 2,PINNED_DOCUMENTARY_CONTEXT,No transfer to source-response results,WITHDRAW_STORAGE_UPGRADE,3c6e6e9edb0aed0b305be0c621d23e54b7c7245fccefa5e1c1b41c4bb6df1338,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C32,Abstract; Discussion,Reproduction/heredity not tested; autonomy/individuality not established,SEAL01/out/_seal_adjudication.json,NINE_REQUIREMENTS/9_no_reproduction_heredity_or_cohesion_upgrade,EXPLICIT_SCOPE_LIMIT,No biological or living-status inference,RETAIN_LIMIT,aa4b3cefac080727968dea4ca31e91030f061815ba927dee6211a80791b30ee4,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C33,Methods 2.5; Data; Supplement S7,V2 uses no new scientific worlds or predictor simulations,paper/organiser-bound-source-response-operator/provenance/AUDIT_RESULTS.json,scientific_world_starts,EXECUTION_SCOPE,Recomputation is not independent full-engine replication,RETAIN,790f05b24a9dd0c3d590845545d53e4b123f79f2553c7147108eb5445040e180,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C34,Data; Supplement S2,Historical run-budget compliance remains unknown,SEAL01/out/_seal_adjudication.json,ZERO_RUN_COMPLIANCE/ORIGINAL_ZERO_RUN_MISSION_COMPLIANCE,MISSING_DOCUMENTARY_EVIDENCE,Absence is not a finding of violation,REDUCE_COMPLIANCE_CLAIM,aa4b3cefac080727968dea4ca31e91030f061815ba927dee6211a80791b30ee4,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C35,Discussion,No general theorem of downward quantile bias is derived,OBFOR01/out/_residual.json,DEFINITION,EXPLICIT_QUALIFICATION,Observed sign is distribution- and selection-dependent,WITHDRAW_UNIVERSAL_BIAS_CLAIM,28cda160c1c0ff98976ed8fe3051cbcefee778bce0cb78e699a735923f3e2211,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
C36,Supplement S2,Observer inertness is a historical 1500-step fixture,OBFOR01/out/_validation.json,INERTNESS,HASH_VERIFIED_TEST_RECORD_NOT_RERUN,Does not prove inertness for all trajectories,REDUCE_PROOF_LANGUAGE,00ca728d7f492ea3c90c5a53a597cf79e26decb661557d9b472a4a58bf4656c8,code/reproduce.py; see REPRODUCIBILITY_AUDIT.md for verified vs documentary scope
